;index;date;searches;ind_trend_num;ind_seasonality_num;ind_baseline_num
0;0;2019-01-06;11;1;-6,6094;9,5367
1;1;2019-01-13;12;2;-8,2457;6,5706
2;2;2019-01-20;3;3;-9,1683;4,9039
3;3;2019-01-27;9;4;-5,9382;10,7976
4;4;2019-02-03;9;5;-5,0848;12,3643
5;5;2019-02-10;9;6;-7,2991;8,3459
6;6;2019-02-17;12;7;-5,5664;11,5134
7;7;2019-02-24;13;8;-2,0182;17,9863
8;8;2019-03-03;20;9;-2,9916;16,2271
9;9;2019-03-10;23;10;-4,7426;13,0522
10;10;2019-03-17;9;11;-2,8842;16,4486
11;11;2019-03-24;14;12;-1,7242;18,5735
12;12;2019-03-31;13;13;-2,8846;16,4738
13;13;2019-04-07;13;14;-2,7663;16,7022
14;14;2019-04-14;12;15;-2,3353;17,4999
15;15;2019-04-21;18;16;-2,8548;16,567
16;16;2019-04-28;19;17;-2,2446;17,691
17;17;2019-05-05;21;18;-2,4095;17,4037
18;18;2019-05-12;28;19;-3,1252;16,1137
19;19;2019-05-19;21;20;1,487;24,5237
20;20;2019-05-26;23;21;7,7777;35,9895
21;21;2019-06-02;31;22;8,626;37,5469
22;22;2019-06-09;39;23;10,1066;40,2555
23;23;2019-06-16;37;24;14,6931;48,6187
24;24;2019-06-23;70;25;14,0011;47,3718
25;25;2019-06-30;48;26;11,5708;42,9602
26;26;2019-07-07;61;27;14,985;49,1891
27;27;2019-07-14;40;28;16,938;52,7577
28;28;2019-07-21;67;29;14,2249;47,8312
29;29;2019-07-28;47;30;13,4669;46,4642
30;30;2019-08-04;50;31;12,3039;44,3598
31;31;2019-08-11;38;32;8,3756;37,2209
32;32;2019-08-18;32;33;6,453;33,7336
33;33;2019-08-25;37;34;3,4975;28,3658
34;34;2019-09-01;24;35;-2,1232;18,1457
35;35;2019-09-08;15;36;-2,8381;16,8571
36;36;2019-09-15;15;37;-1,8894;18,5973
37;37;2019-09-22;17;38;-5,829;11,4378
38;38;2019-09-29;9;39;-6,7703;9,7371
39;39;2019-10-06;6;40;-3,6363;15,4558
40;40;2019-10-13;9;41;-6,1486;10,8949
41;41;2019-10-20;5;42;-9,803;4,2547
42;42;2019-10-27;9;43;-7,4418;8,5665
43;43;2019-11-03;8;44;-5,8238;11,5252
44;44;2019-11-10;11;45;-6,9229;9,5371
45;45;2019-11-17;8;46;-6,4106;10,4828
46;46;2019-11-24;6;47;-6,4754;10,3778
47;47;2019-12-01;7;48;-4,5806;13,8405
48;48;2019-12-08;16;49;3,646;28,8309
49;49;2019-12-15;26;50;7,7045;36,2328
50;50;2019-12-22;49;51;0,9025;23,862
51;51;2019-12-29;12;52;-4,9756;13,1733
52;52;2020-01-05;14;53;-4,6794;13,7255
53;53;2020-01-12;13;54;-5,7502;11,789
54;54;2020-01-19;9;55;-7,0778;9,3849
55;55;2020-01-26;8;56;-4,0217;14,9619
56;56;2020-02-02;18;57;-2,9877;16,8574
57;57;2020-02-09;16;58;-7,4092;8,8205
58;58;2020-02-16;11;59;-8,9475;6,0329
59;59;2020-02-23;9;60;-5,5399;12,2498
60;60;2020-03-01;9;61;-5,6714;12,0233
61;61;2020-03-08;8;62;-9,7149;4,6747
62;62;2020-03-15;6;63;-9,4059;5,2503
63;63;2020-03-22;8;64;-4,7977;13,653
64;64;2020-03-29;14;65;-2,442;17,9547
65;65;2020-04-05;23;66;-3,0789;16,8082
66;66;2020-04-12;24;67;-3,6074;15,859
67;67;2020-04-19;27;68;-2,6335;17,645
68;68;2020-04-26;17;69;-0,7428;21,1002
69;69;2020-05-03;26;70;0,1573;22,7519
70;70;2020-05-10;22;71;0,6003;23,5715
71;71;2020-05-17;32;72;1,7304;25,6419
72;72;2020-05-24;34;73;0,4439;23,3127
73;73;2020-05-31;35;74;-0,7004;21,2423
74;74;2020-06-07;30;75;6,2409;33,8927
75;75;2020-06-14;40;76;14,385;48,7328
76;76;2020-06-21;62;77;13,5495;47,2247
77;77;2020-06-28;48;78;13,5054;47,1574
78;78;2020-07-05;47;79;19,1601;57,4654
79;79;2020-07-12;57;80;18,3345;55,9753
80;80;2020-07-19;43;81;15,783;51,343
81;81;2020-07-26;42;82;23,2088;64,8754
82;82;2020-08-02;79;83;25,6518;69,3361
83;83;2020-08-09;77;84;13,1834;46,6491
84;84;2020-08-16;37;85;3,383;28,8194
85;85;2020-08-23;33;86;1,688;25,7465
86;86;2020-08-30;18;87;-2,6016;17,9498
87;87;2020-09-06;21;88;-5,8218;12,1001
88;88;2020-09-13;20;89;-3,5658;16,2203
89;89;2020-09-20;11;90;-3,8923;15,6389
90;90;2020-09-27;10;91;-7,2461;9,5459
91;91;2020-10-04;8;92;-7,6199;8,8784
92;92;2020-10-11;9;93;-5,9697;11,8957
93;93;2020-10-18;10;94;-4,6555;14,3013
94;94;2020-10-25;13;95;-5,419;12,9243
95;95;2020-11-01;8;96;-8,2915;7,7076
96;96;2020-11-08;7;97;-7,7853;8,6421
97;97;2020-11-15;7;98;-5,5357;12,7508
98;98;2020-11-22;7;99;-8,7787;6,8595
99;99;2020-11-29;12;100;-9,3994;5,7424
100;100;2020-12-06;17;101;0,4218;23,636
101;101;2020-12-13;14;102;5,8143;33,4665
102;102;2020-12-20;50;103;-1,9809;19,2875
103;103;2020-12-27;12;104;-8,2729;7,8453
104;104;2021-01-03;12;105;-6,7699;10,5946
105;105;2021-01-10;11;106;-6,9224;10,33
106;106;2021-01-17;7;107;-8,9278;6,6919
107;107;2021-01-24;12;108;-7,247;9,765
108;108;2021-01-31;13;109;-5,4043;13,1328
109;109;2021-02-07;6;110;-6,0096;12,0438
110;110;2021-02-14;8;111;-5,1689;13,5873
111;111;2021-02-21;11;112;-3,2837;17,0325
112;112;2021-02-28;14;113;-3,4655;16,7145
113;113;2021-03-07;13;114;-3,5057;16,6543
114;114;2021-03-14;7;115;-2,3356;18,7976
115;115;2021-03-21;17;116;-2,9279;17,7322
116;116;2021-03-28;17;117;-3,5059;16,6929
117;117;2021-04-04;13;118;-1,6001;20,1756
118;118;2021-04-11;17;119;-1,6435;20,1095
119;119;2021-04-18;18;120;-3,9792;15,8701
120;120;2021-04-25;19;121;-3,0042;17,6582
121;121;2021-05-02;9;122;-1,331;20,7174
122;122;2021-05-09;18;123;-2,3004;18,9655
123;123;2021-05-16;17;124;0,4582;24,0008
124;124;2021-05-23;20;125;6,8908;35,725
125;125;2021-05-30;37;126;9,6011;40,6724
126;126;2021-06-06;42;127;11,0524;43,3276
127;127;2021-06-13;46;128;13,7751;48,2976
128;128;2021-06-20;38;129;12,9998;46,899
129;129;2021-06-27;45;130;12,4283;45,8715
130;130;2021-07-04;41;131;16,0381;52,4565
131;131;2021-07-11;52;132;16,1441;52,6625
132;132;2021-07-18;50;133;13,1238;47,1767
133;133;2021-07-25;38;134;14,1943;49,1386
134;134;2021-08-01;37;135;13,449;47,7947
135;135;2021-08-08;47;136;7,7173;37,3726
136;136;2021-08-15;36;137;5,2682;32,9267
137;137;2021-08-22;33;138;4,0842;30,7841
138;138;2021-08-29;31;139;-0,903;21,7173
139;139;2021-09-05;23;140;-3,3511;17,2733
140;140;2021-09-12;15;141;-3,1406;17,6695
141;141;2021-09-19;11;142;-5,3916;13,5843
142;142;2021-09-26;14;143;-5,4927;13,4133
143;143;2021-10-03;13;144;-3,9965;16,1502
144;144;2021-10-10;15;145;-7,4479;9,8796
145;145;2021-10-17;8;146;-9,5213;6,1177
146;146;2021-10-24;11;147;-6,1254;12,3133
147;147;2021-10-31;8;148;-6,026;12,5072
148;148;2021-11-07;12;149;-8,2516;8,4683
149;149;2021-11-14;7;150;-6,2887;12,0549
150;150;2021-11-21;9;151;-5,1394;14,1603
151;151;2021-11-28;14;152;-4,6218;15,1157
152;152;2021-12-05;10;153;2,3076;27,7443
153;153;2021-12-12;14;154;7,6649;37,5108
154;154;2021-12-19;41;155;2,2386;27,6447
155;155;2021-12-26;18;156;-4,8553;14,7425
156;156;2022-01-02;12;157;-6,0082;12,6565
157;157;2022-01-09;11;158;-5,9508;12,774
158;158;2022-01-16;7;159;-5,7611;13,1323
159;159;2022-01-23;13;160;-3,7415;16,8222
160;160;2022-01-30;10;161;-4,2874;15,8413
161;161;2022-02-06;14;162;-7,7679;9,5177
162;162;2022-02-13;9;163;-7,6694;9,71
163;163;2022-02-20;11;164;-5,104;14,3936
164;164;2022-02-27;9;165;-6,9231;11,0947
165;165;2022-03-06;11;166;-10,2264;5,0937
166;166;2022-03-13;10;167;-8,1851;8,823
167;167;2022-03-20;16;168;-4,2125;16,0686
168;168;2022-03-27;15;169;-3,6275;17,1466
169;169;2022-04-03;16;170;-3,7357;16,9626
170;170;2022-04-10;15;171;-2,4615;19,2954
171;171;2022-04-17;16;172;-1,9074;20,3172
172;172;2022-04-24;12;173;-1,8448;20,4441
173;173;2022-05-01;12;174;-0,6353;22,6591
174;174;2022-05-08;20;175;1,6544;26,8407
175;175;2022-05-15;22;176;2,5867;28,5511
176;176;2022-05-22;19;177;-0,5585;22,8379
177;177;2022-05-29;18;178;-1,6172;20,9234
178;178;2022-06-05;15;179;7,1879;36,967
179;179;2022-06-12;38;180;15,3591;51,8565
180;180;2022-06-19;40;181;12,6614;46,958
181;181;2022-06-26;51;182;12,4777;46,6366
182;182;2022-07-03;46;183;19,9862;60,3195
183;183;2022-07-10;83;184;19,412;59,2871
184;184;2022-07-17;79;185;15,0221;51,3079
185;185;2022-07-24;70;186;22,0853;64,1801
186;186;2022-07-31;73;187;26,3449;71,9482
187;187;2022-08-07;100;188;14,3488;50,121
188;188;2022-08-14;54;189;2,7603;29,0359
189;189;2022-08-21;39;190;0,4849;24,9063
190;190;2022-08-28;28;191;-2,0515;20,3015
191;191;2022-09-04;21;192;-4,5855;15,701
192;192;2022-09-11;19;193;-4,0412;16,705
193;193;2022-09-18;8;194;-5,1573;14,686
194;194;2022-09-25;27;195;-6,8471;11,6225
195;195;2022-10-02;19;196;-6,3308;12,5755
196;196;2022-10-09;10;197;-6,2908;12,6613
197;197;2022-10-16;8;198;-5,964;13,2692
198;198;2022-10-23;13;199;-5,177;14,715
199;199;2022-10-30;12;200;-6,9684;11,4666
200;200;2022-11-06;9;201;-7,9475;9,697
201;201;2022-11-13;9;202;-6,8686;11,6743
202;202;2022-11-20;13;203;-8,6971;8,3583
203;203;2022-11-27;6;204;-8,0616;9,5282
204;204;2022-12-04;8;205;0,421;24,9847
205;205;2022-12-11;16;206;4,4764;32,3809
206;206;2022-12-18;42;207;-2,0609;20,4921
207;207;2022-12-25;24;208;-6,9399;11,6223
